mu,sigma2,pi
2.22386360765154,0.407769256593014,0.00775381366498768
2.22576504456452,0.934719012642032,0
2.22611022176303,0.480208590025639,0
2.22770493465565,0.438922774299011,0
2.22931936923614,0.233501671395294,0.0107760527453385
2.23339389658726,0.267459435088721,0.00701156334592961
2.24256925670534,0.185611318223384,0
2.26016122076758,0.150427390098908,0.0010869299471844
2.26107658608992,0.31363870683024,0.00778931747269817
2.27090944560069,0.233666911467328,0
2.27596882228884,0.303558827318426,0
2.27682789853599,0.774253965401989,0.0600913036895968
2.28807395523796,0.318184733134397,0.00721443408331834
2.28945126729925,0.296106287188329,0.00737244299305603
2.29245999594108,0.439691256070068,0.00276913223429583
2.2964399452442,0.282128931298424,0.0106875321582891
2.29731851618742,0.0761127992592348,0.0104394756620284
2.29760692660879,0.482733888898976,0.00643577576614916
2.30151304450867,0.151946713316981,0
2.30555999784827,0.258169634317677,0.0584955915295105
2.31359183279526,0.168606880006227,0.00923881842526607
2.31921054723191,0.349825515322021,0.00267053603203967
2.32380884581271,0.454945745840327,0.0519244809122808
2.32474691585399,0.555885539180796,0.103163617025652
2.3267922274056,0.10138834752313,0.00926149260797538
2.32881584972936,0.217377122328116,0
2.33414246490398,0.187211542088146,0
2.33595060810659,0.260527817338515,0
2.33811192273637,0.23724770016986,0
2.34089268676714,0.420778063931463,0.062943159811623
2.34424435312817,0.44141000866674,0.00113016683100723
2.35185176393606,0.320907720080101,0
2.35347788995399,0.388459322146078,0.0077999368343968
2.35625438945325,0.382906323147567,0
2.36678555812261,0.25467549354062,0
2.36737420334333,0.590427247364249,0
2.37006168235106,0.134885457084704,0.000404002769943327
2.37229002277537,0.442194540013391,0.109869262724473
2.37554717477227,0.527020309685971,0.00821370432930998
2.3847540018113,0.555667650428313,0
2.40017174349893,0.18790312278798,0
2.4010757144946,0.344768665269686,0
2.40857185539215,0.0578651110025255,0.00984034360949881
2.41946536585484,0.273800495830602,0.00273500633602962
2.42715388229014,0.258423462960012,0
2.42951345629558,0.387087063946477,0.0101856718598865
2.43231405434155,0.429296909561644,0.0106279020390473
2.43304254588787,0.963441330264905,0
2.43361721344003,0.102578872695949,0.00557418261053972
2.43671629786915,0.0777759185130784,0.00324254730362445
2.44001003815324,0.10822653347937,0.00113316806126386
2.44280461343636,0.360504749664918,0.00838190976376645
2.44638384151525,0.337151873041903,0
2.44809018931874,0.250739715621409,0
2.45129443432628,0.600481757431337,0.00363984270729125
2.45569297138177,0.235534151495346,0.00608265014961362
2.46458610888738,0.5713937116762,0.0605818757731985
2.47022135367777,0.321735612576633,0.00845567694031633
2.470514326535,0.384147000980911,0.0014156919662375
2.47180520712056,0.220187417309507,0
2.47334958518439,0.666744286849694,0
2.48103987377252,0.298097571719966,0.11996750828215
2.48303883689146,0.0942488089693148,0
2.48317364826548,0.651040157232831,0.0603022817219659
2.48493134463501,0.533207936813877,0.00839334089183249
2.48679782111793,0.59916844650838,0.00244766136067919
2.49578960342616,0.364366284877547,0
2.50122568814691,0.259726943638349,0
2.50461011882811,0.346725254073646,0
2.51036689363987,0.304441866771168,0
2.5112542435246,0.191084447744872,0.00965355754327029
2.51184744315727,0.316924859924187,0.00747656183755025
2.51184744315727,0.316924859924187,0
2.51911792457866,0.271375524009478,0.000554769782954826
2.51931081259617,0.17497130960174,0.00677411962626502
2.52083597900498,0.171920976784117,0
2.52140028614803,0.235314086934465,0
2.52576317199145,0.0783723709401793,0
2.52862062822542,0.220873402779671,0
2.55391745220392,0.781043053925043,0.335788987928194
2.55542497512351,0.0529478813036053,0
2.55758155923846,0.315697498322741,0
2.55955336745887,0.398098225612335,0
2.56266833160762,0.655406852577098,0
2.56357116318078,0.228803165368301,0.00029107587011531
2.57590520248301,0.188809341272697,0.00247339396169409
2.57698411972349,0.334867451099187,0.00745450076716952
2.57816174676714,0.461063960229525,0.0555538927913229
2.58231200874472,0.113490641741077,0
2.5828870581482,0.250326285908012,0.00700409660465084
2.58761478123042,0.542812893563334,0
2.58809559330848,0.339356086292325,0.0549772509107884
2.59417567955532,0.386023684211224,0.044883602633379
2.59431770053859,0.151984345161538,0.0104165863315109
2.5945939810413,1.24856368765381,0
2.59629329119665,0.825368418214725,0.176440693062839
2.60036927590639,0.399236841043017,0.00917867808463052
2.6012003591104,0.342776726258755,0.00826294678011909
2.60562005761069,0.646435962226534,0.0588966429898567
2.60563394078274,0.388707511290314,0.00519376027607359
2.60622423963474,0.143497012460378,0
2.60955402405397,0.167141053663121,0
2.61390975918839,0.112800227861951,0
2.61474662805759,0.156755845655893,0.00652749296044931
2.61515403590484,0.0948675822412218,0.00550256186211482
2.6187608260389,0.454879427088247,0.00180855335262604
2.63079358125109,0.41786888765264,0.0107933783671819
2.63519489674225,0.130840651744878,0
2.63880654686046,0.954349709690223,0
2.6417754311758,0.275467467817113,0
2.64317378946156,0.114882866306267,0
2.64631876370844,0.334183906103201,0
2.6539019742022,0.422936962977096,0
2.65589361106888,0.481985655696961,0.0462041046941239
2.65839789730219,0.476255452336704,0
2.6691126421111,0.0778751179822235,0.00465060411226004
2.67613417108201,0.261175115054459,0
2.67960230242733,0.333196474311386,0
2.68045832033137,0.0699439761369205,0.000541783097572624
2.68067921605888,0.225057586767276,0
2.68286101048197,0.415021494828383,0.0104752555323299
2.68650929912556,0.306437451903707,0
2.69003640312459,0.108762884297,0.00491085234694183
2.69163874370414,0.385082087888217,0.00653892427976243
2.69195771752697,0.551207358120654,0
2.69357097156441,0.279284744983615,0
2.69453106752532,0.580055810861091,0.00643864816306159
2.69918777941,0.647886936664205,0.000697090817894786
2.70010419012124,0.481639693875522,0.163555943165642
2.70874584877606,0.300550758472057,0.00396351409060881
2.70986261664138,0.083345392801136,0
2.71173517064533,0.556852115718403,0
2.71428192117204,0.327334633451126,0
2.71438052209988,0.157654974685279,0
2.71614120726997,0.247173635614875,0.00376349391178228
2.71991736599562,0.73212357081229,0.0028016580611933
2.72186541407144,0.10144661633669,0.00243852847474627
2.72333989338081,0.245721292404433,0
2.72521996831914,0.29291931312975,0.00504112844886258
2.73363394424193,0.212188161670952,0
2.73576441482892,0.913776429880364,0.0655327012328017
2.74229778772323,0.646335647690868,0.0107290476580616
2.75561411637562,0.469094224257833,0.00804672076734714
2.75614510271272,0.28076104151565,0
2.75850422459553,0.26373506660127,0.00383988168002106
2.76584928814033,0.297827845759984,0.00206262478698045
2.7699622266597,0.240819062472932,0
2.77968327438748,0.282171921386119,0
2.78465376365973,0.0575139062006066,0.008408396968944
2.78596665841559,0.351728126925432,0
2.7936944396772,0.217894821621552,0
2.79446556982252,0.848820510091361,0
2.79776089855717,0.0968792820517212,0.00409005631017499
2.80753666687427,0.646229849158175,0.00938340305560268
2.80864558180733,0.63427963998971,0
2.81526868831035,0.447897394366751,0
2.81857661577703,0.251724726778815,0
2.82117484221548,0.382173466579439,0
2.82132158206694,0.467454537286945,0.0101094008971006
2.82348819592243,0.575109848285103,0
2.82927023859304,0.398503715567877,0.00403204104001634
2.83203044376395,0.189417916606173,0
2.83601215850691,0.499933985789726,0.00332615670673549
2.83640228579545,0.362617788954641,0
